Federal Entity,Municipality,Consecutive,Name,Statistic Types
30,001,1,REGISTRO CIVIL,"013,014,015,016,017"
30,002,1,REGISTRO CIVIL,"013,014,015,016,017"
30,003,1,REGISTRO CIVIL,"013,014,015,016,017"
30,004,1,REGISTRO CIVIL,"013,014,015,016,017"
30,005,1,REGISTRO CIVIL,"013,014,015,016,017"
30,006,1,REGISTRO CIVIL,"013,014,015,016,017"
30,007,1,REGISTRO CIVIL,"013,014,015,016,017"
30,008,1,REGISTRO CIVIL,"013,014,015,016,017"
30,009,1,REGISTRO CIVIL,"013,014,015,016,017"
30,010,1,REGISTRO CIVIL,"013,014,015,016,017"
30,011,1,REGISTRO CIVIL,"013,014,015,016,017"
30,012,1,REGISTRO CIVIL,"013,014,015,016,017"
30,013,1,REGISTRO CIVIL,"013,014,015,016,017"
30,014,1,REGISTRO CIVIL,"013,014,015,016,017"
30,015,1,REGISTRO CIVIL,"013,014,015,016,017"
30,016,1,REGISTRO CIVIL,"013,014,015,016,017"
30,017,1,REGISTRO CIVIL,"013,014,015,016,017"
30,018,1,REGISTRO CIVIL,"013,014,015,016,017"
30,019,1,REGISTRO CIVIL,"013,014,015,016,017"
30,020,1,REGISTRO CIVIL,"013,014,015,016,017"
30,021,1,REGISTRO CIVIL,"013,014,015,016,017"
30,022,1,REGISTRO CIVIL,"013,014,015,016,017"
30,023,1,REGISTRO CIVIL,"013,014,015,016,017"
30,024,1,REGISTRO CIVIL,"013,014,015,016,017"
30,025,1,REGISTRO CIVIL,"013,014,015,016,017"
30,026,1,REGISTRO CIVIL,"013,014,015,016,017"
30,027,1,REGISTRO CIVIL,"013,014,015,016,017"
30,028,1,REGISTRO CIVIL,"013,014,015,016,017"
30,029,1,REGISTRO CIVIL,"013,014,015,016,017"
30,030,1,REGISTRO CIVIL,"013,014,015,016,017"
30,031,1,REGISTRO CIVIL,"013,014,015,016,017"
30,032,1,REGISTRO CIVIL,"013,014,015,016,017"
30,033,1,REGISTRO CIVIL,"013,014,015,016,017"
30,034,1,REGISTRO CIVIL,"013,014,015,016,017"
30,035,1,REGISTRO CIVIL,"013,014,015,016,017"
30,036,1,REGISTRO CIVIL,"013,014,015,016,017"
30,037,1,REGISTRO CIVIL,"013,014,015,016,017"
30,038,1,REGISTRO CIVIL,"013,014,015,016,017"
30,039,1,REGISTRO CIVIL,"013,014,015,016,017"
30,040,1,REGISTRO CIVIL,"013,014,015,016,017"
30,041,1,REGISTRO CIVIL,"013,014,015,016,017"
30,042,1,REGISTRO CIVIL,"013,014,015,016,017"
30,043,1,REGISTRO CIVIL,"013,014,015,016,017"
30,044,1,REGISTRO CIVIL,"013,014,015,016,017"
30,045,1,REGISTRO CIVIL,"013,014,015,016,017"
30,046,1,REGISTRO CIVIL,"013,014,015,016,017"
30,047,1,REGISTRO CIVIL,"013,014,015,016,017"
30,048,1,REGISTRO CIVIL,"013,014,015,016,017"
30,049,1,REGISTRO CIVIL,"013,014,015,016,017"
30,050,1,REGISTRO CIVIL,"013,014,015,016,017"
30,051,1,REGISTRO CIVIL,"013,014,015,016,017"
30,052,1,REGISTRO CIVIL,"013,014,015,016,017"
30,053,1,REGISTRO CIVIL,"013,014,015,016,017"
30,054,1,REGISTRO CIVIL,"013,014,015,016,017"
30,055,1,REGISTRO CIVIL,"013,014,015,016,017"
30,056,1,REGISTRO CIVIL,"013,014,015,016,017"
30,057,1,REGISTRO CIVIL,"013,014,015,016,017"
30,058,1,REGISTRO CIVIL,"013,014,015,016,017"
30,059,1,REGISTRO CIVIL,"013,014,015,016,017"
30,060,1,REGISTRO CIVIL,"013,014,015,016,017"
30,061,1,REGISTRO CIVIL,"013,014,015,016,017"
30,062,1,REGISTRO CIVIL,"013,014,015,016,017"
30,063,1,REGISTRO CIVIL,"013,014,015,016,017"
30,064,1,REGISTRO CIVIL,"013,014,015,016,017"
30,065,1,REGISTRO CIVIL,"013,014,015,016,017"
30,066,1,REGISTRO CIVIL,"013,014,015,016,017"
30,067,1,REGISTRO CIVIL,"013,014,015,016,017"
30,068,1,REGISTRO CIVIL,"013,014,015,016,017"
30,069,1,REGISTRO CIVIL,"013,014,015,016,017"
30,070,1,REGISTRO CIVIL,"013,014,015,016,017"
30,071,1,REGISTRO CIVIL,"013,014,015,016,017"
30,072,1,REGISTRO CIVIL,"013,014,015,016,017"
30,073,1,REGISTRO CIVIL,"013,014,015,016,017"
30,074,1,REGISTRO CIVIL,"013,014,015,016,017"
